Year,Region,Park,Visits
2021,Darwin,Berry Springs Nature Reserve,158500
2022,Darwin,Berry Springs Nature Reserve,204100
2023,Darwin,Berry Springs Nature Reserve,179300
2024,Darwin,Berry Springs Nature Reserve,175800
2025,Darwin,Berry Springs Nature Reserve,186600
2021,Darwin,Casuarina Coastal Reserve - Whole of Park,1452800
2022,Darwin,Casuarina Coastal Reserve - Whole of Park,1411300
2023,Darwin,Casuarina Coastal Reserve - Whole of Park,1357000
2024,Darwin,Casuarina Coastal Reserve - Whole of Park,1346000
2025,Darwin,Casuarina Coastal Reserve - Whole of Park,1422200
2021,Darwin,Fogg Dam Conservation Reserve,51500
2022,Darwin,Fogg Dam Conservation Reserve,65700
2023,Darwin,Fogg Dam Conservation Reserve,57400
2024,Darwin,Fogg Dam Conservation Reserve,69300
2025,Darwin,Fogg Dam Conservation Reserve,55700
2021,Darwin,Howard Springs Nature Park,119600
2022,Darwin,Howard Springs Nature Park,134500
2023,Darwin,Howard Springs Nature Park,137800
2024,Darwin,Howard Springs Nature Park,120700
2025,Darwin,Howard Springs Nature Park,126600
2021,Darwin,Litchfield National Park - Whole of Park,274400
2022,Darwin,Litchfield National Park - Whole of Park,367600
2023,Darwin,Litchfield National Park - Whole of Park,253400
2024,Darwin,Litchfield National Park - Whole of Park,244200
2025,Darwin,Litchfield National Park - Whole of Park,280100
2021,Darwin,Mary River National Park - Shady Camp Conservation Reserve,37400
2022,Darwin,Mary River National Park - Shady Camp Conservation Reserve,43500
2023,Darwin,Mary River National Park - Shady Camp Conservation Reserve,39000
2024,Darwin,Mary River National Park - Shady Camp Conservation Reserve,34400
2025,Darwin,Mary River National Park - Shady Camp Conservation Reserve,32300
2021,Katherine,Cutta Cutta Caves Nature Park,13400
2022,Katherine,Cutta Cutta Caves Nature Park,17200
2023,Katherine,Cutta Cutta Caves Nature Park,11500
2024,Katherine,Cutta Cutta Caves Nature Park,10200
2025,Katherine,Cutta Cutta Caves Nature Park,10400
2021,Katherine,Elsey National Park - Whole of Park,232500
2022,Katherine,Elsey National Park - Whole of Park,207700
2023,Katherine,Elsey National Park - Whole of Park,255400
2024,Katherine,Elsey National Park - Whole of Park,201600
2025,Katherine,Elsey National Park - Whole of Park,146800
2021,Katherine,Judbarra/Gregory National Park - Whole of Park,48000
2022,Katherine,Judbarra/Gregory National Park - Whole of Park,49600
2023,Katherine,Judbarra/Gregory National Park - Whole of Park,46000
2024,Katherine,Judbarra/Gregory National Park - Whole of Park,37300
2025,Katherine,Judbarra/Gregory National Park - Whole of Park,43900
2021,Katherine,Keep River National Park,20200
2022,Katherine,Keep River National Park,23200
2023,Katherine,Keep River National Park,11700
2024,Katherine,Keep River National Park,14100
2025,Katherine,Keep River National Park,13400
2021,Katherine,Limmen National Park - Hodgson River Crossing,11600
2022,Katherine,Limmen National Park - Hodgson River Crossing,10100
2023,Katherine,Limmen National Park - Hodgson River Crossing,9400
2024,Katherine,Limmen National Park - Hodgson River Crossing,9800
2025,Katherine,Limmen National Park - Hodgson River Crossing,9600
2021,Katherine,Nitmiluk National Park - Whole of Park,271700
2022,Katherine,Nitmiluk National Park - Whole of Park,309800
2023,Katherine,Nitmiluk National Park - Whole of Park,266200
2024,Katherine,Nitmiluk National Park - Whole of Park,259800
2025,Katherine,Nitmiluk National Park - Whole of Park,251200
2021,Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,146300
2022,Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,99400
2023,Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,225200
2024,Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,98800
2025,Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,110100
2021,Barkly,Tennant Creek Telegraph Station,15200
2022,Barkly,Tennant Creek Telegraph Station,19600
2023,Barkly,Tennant Creek Telegraph Station,14000
2024,Barkly,Tennant Creek Telegraph Station,19300
2025,Barkly,Tennant Creek Telegraph Station,18300
2021,Alice Springs,Alice Springs Telegraph Station Historical Reserve,183400
2022,Alice Springs,Alice Springs Telegraph Station Historical Reserve,187400
2023,Alice Springs,Alice Springs Telegraph Station Historical Reserve,180200
2024,Alice Springs,Alice Springs Telegraph Station Historical Reserve,142900
2025,Alice Springs,Alice Springs Telegraph Station Historical Reserve,197800
2021,Alice Springs,Arltunga Historical Reserve,7300
2022,Alice Springs,Arltunga Historical Reserve,11700
2023,Alice Springs,Arltunga Historical Reserve,10700
2024,Alice Springs,Arltunga Historical Reserve,10800
2025,Alice Springs,Arltunga Historical Reserve,41800
2021,Alice Springs,Chambers Pillar Historical Reserve,3700
2022,Alice Springs,Chambers Pillar Historical Reserve,3000
2023,Alice Springs,Chambers Pillar Historical Reserve,2500
2024,Alice Springs,Chambers Pillar Historical Reserve,2000
2025,Alice Springs,Chambers Pillar Historical Reserve,2200
2021,Alice Springs,Finke Gorge National Park,18100
2022,Alice Springs,Finke Gorge National Park,18000
2023,Alice Springs,Finke Gorge National Park,14400
2024,Alice Springs,Finke Gorge National Park,13400
2025,Alice Springs,Finke Gorge National Park,19000
2021,Alice Springs,Rainbow Valley Conservation Reserve,10300
2022,Alice Springs,Rainbow Valley Conservation Reserve,8200
2023,Alice Springs,Rainbow Valley Conservation Reserve,8000
2024,Alice Springs,Rainbow Valley Conservation Reserve,6500
2025,Alice Springs,Rainbow Valley Conservation Reserve,7000
2021,Alice Springs,Trephina Gorge Nature Park,25600
2022,Alice Springs,Trephina Gorge Nature Park,25700
2023,Alice Springs,Trephina Gorge Nature Park,32100
2024,Alice Springs,Trephina Gorge Nature Park,33800
2025,Alice Springs,Trephina Gorge Nature Park,38500
2021,Alice Springs,Watarrka National Park,113800
2022,Alice Springs,Watarrka National Park,196700
2023,Alice Springs,Watarrka National Park,186800
2024,Alice Springs,Watarrka National Park,193500
2025,Alice Springs,Watarrka National Park,208900
2021,Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,126100
2022,Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,170600
2023,Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,155500
2024,Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,145400
2025,Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,137300
