Region,Park,2021,2022,2023,2024,2025
Darwin,Berry Springs Nature Reserve,158500,204100,179300,175800,186600
Darwin,Casuarina Coastal Reserve - Whole of Park,1452800,1411300,1357000,1346000,1422200
Darwin,Fogg Dam Conservation Reserve,51500,65700,57400,69300,55700
Darwin,Howard Springs Nature Park,119600,134500,137800,120700,126600
Darwin,Litchfield National Park - Whole of Park,274400,367600,253400,244200,280100
Darwin,Mary River National Park - Shady Camp Conservation Reserve,37400,43500,39000,34400,32300
Katherine,Cutta Cutta Caves Nature Park,13400,17200,11500,10200,10400
Katherine,Elsey National Park - Whole of Park,232500,207700,255400,201600,146800
Katherine,Judbarra/Gregory National Park - Whole of Park,48000,49600,46000,37300,43900
Katherine,Keep River National Park,20200,23200,11700,14100,13400
Katherine,Limmen National Park - Hodgson River Crossing,11600,10100,9400,9800,9600
Katherine,Nitmiluk National Park - Whole of Park,271700,309800,266200,259800,251200
Barkly,Karlu Karlu (Devils Marbles) Conservation Reserve,146300,99400,225200,98800,110100
Barkly,Tennant Creek Telegraph Station,15200,19600,14000,19300,18300
Alice Springs,Alice Springs Telegraph Station Historical Reserve,183400,187400,180200,142900,197800
Alice Springs,Arltunga Historical Reserve,7300,11700,10700,10800,41800
Alice Springs,Chambers Pillar Historical Reserve,3700,3000,2500,2000,2200
Alice Springs,Finke Gorge National Park,18100,18000,14400,13400,19000
Alice Springs,Rainbow Valley Conservation Reserve,10300,8200,8000,6500,7000
Alice Springs,Trephina Gorge Nature Park,25600,25700,32100,33800,38500
Alice Springs,Watarrka National Park,113800,196700,186800,193500,208900
Alice Springs,Tjoritja / West MacDonnell National Park - Whole of Park,126100,170600,155500,145400,137300
