As At,Year,Month number,Offence category,Offence type ,Alcohol involvement,DV involvement,Reporting Region,Statistical Area 2,Number of offences
4/08/2026,2023,12,01 Homicide,0132 Driving causing death,-,-,Darwin,,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Darwin,,46
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Palmerston,,16
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Alice Springs,,28
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Katherine,,14
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Tennant Creek,,5
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,Nhulunbuy,,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,East Arnhem,5
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Elsey,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Gulf,7
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Howard Springs,3
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Humpty Doo,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Petermann - Simpson,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tanami,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Thamarrurr,4
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tiwi Islands,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Virginia,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Unknown ,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Darwin,,23
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Palmerston,,12
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Alice Springs,,60
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Katherine,,22
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Tennant Creek,,4
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Alligator,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Anindilyakwa,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Barkly,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Daly,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,East Arnhem,17
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Elsey,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Gulf,9
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Petermann - Simpson,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Sandover - Plenty,3
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tanami,11
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Thamarrurr,10
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tiwi Islands,3
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Victoria River,8
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Weddell,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,West Arnhem,13
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,13
4/08/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Unknown ,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Darwin,,47
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Palmerston,,7
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Alice Springs,,19
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Katherine,,10
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Tennant Creek,,7
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Nhulunbuy,,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Daly,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,East Arnhem,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Petermann - Simpson,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Sandover - Plenty,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Thamarrurr,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Victoria River,3
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Unknown ,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Darwin,,44
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Palmerston,,30
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Alice Springs,,45
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Katherine,,29
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Tennant Creek,,15
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,Nhulunbuy,,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Alligator,4
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Anindilyakwa,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Barkly,1
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Daly,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,East Arnhem,4
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Elsey,9
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Gulf,9
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Humpty Doo,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Petermann - Simpson,4
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Sandover - Plenty,3
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Tanami,6
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Thamarrurr,9
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Tiwi Islands,5
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Victoria River,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,Weddell,2
4/08/2026,2023,12,02 Assault,021 Serious Assault,Yes,Yes,NT Balance,West Arnhem,9
