SA2 Code,SA2 Name,SA3 Name,Area sq km,State,Map Location,Latitude,Longitude
701021020,Leanyer,Darwin Suburbs,2.5,Northern Territory,"Leanyer, Northern Territory, Australia",-12.37522,130.899222
701021021,Lyons (NT),Darwin Suburbs,7.04,Northern Territory,"Lyons (NT), Northern Territory, Australia",-12.34745,130.89252
701021022,Malak - Marrara,Darwin Suburbs,4.83,Northern Territory,"Malak - Marrara, Northern Territory, Australia",-12.39899,130.891328
701021023,Millner,Darwin Suburbs,1.47,Northern Territory,"Millner, Northern Territory, Australia",-12.3917,130.862773
701021024,Moil,Darwin Suburbs,1.04,Northern Territory,"Moil, Northern Territory, Australia",-12.388065,130.881441
701021025,Nightcliff,Darwin Suburbs,1.45,Northern Territory,"Nightcliff, Northern Territory, Australia",-12.382845,130.847976
701021026,Rapid Creek,Darwin Suburbs,1.92,Northern Territory,"Rapid Creek, Northern Territory, Australia",-12.38129,130.859375
701021027,Tiwi,Darwin Suburbs,3.12,Northern Territory,"Tiwi, Northern Territory, Australia",-12.357085,130.877801
701021028,Wagaman,Darwin Suburbs,0.84,Northern Territory,"Wagaman, Northern Territory, Australia",-12.381115,130.884764
701021029,Wanguri,Darwin Suburbs,0.89,Northern Territory,"Wanguri, Northern Territory, Australia",-12.371705,130.888705
701021030,Wulagi,Darwin Suburbs,1.26,Northern Territory,"Wulagi, Northern Territory, Australia",-12.382765,130.895001
701031031,Howard Springs,Litchfield,118.02,Northern Territory,"Howard Springs, Northern Territory, Australia",-12.467295,131.044268
701031032,Humpty Doo,Litchfield,157.42,Northern Territory,"Humpty Doo, Northern Territory, Australia",-12.55488,131.138403
701031033,Koolpinyah,Litchfield,1199.65,Northern Territory,"Koolpinyah, Northern Territory, Australia",-12.349575,131.162625
701031034,Virginia,Litchfield,54.74,Northern Territory,"Virginia, Northern Territory, Australia",-12.554105,131.030707
701011005,Larrakeyah,Darwin City,1.95,Northern Territory,"Larrakeyah, Northern Territory, Australia",-12.45464,130.825957
701011006,Ludmilla - The Narrows,Darwin City,5.35,Northern Territory,"Ludmilla - The Narrows, Northern Territory, Australia",-12.416545,130.8511
701011007,Parap,Darwin City,1.1,Northern Territory,"Parap, Northern Territory, Australia",-12.43412,130.84388
701011008,Stuart Park,Darwin City,1.65,Northern Territory,"Stuart Park, Northern Territory, Australia",-12.44618,130.845525
701011009,Woolner - Bayview - Winnellie,Darwin City,6.79,Northern Territory,"Woolner - Bayview - Winnellie, Northern Territory, Australia",-12.433725,130.855953
701021010,Alawa,Darwin Suburbs,1.24,Northern Territory,"Alawa, Northern Territory, Australia",-12.3796,130.874487
701021011,Anula,Darwin Suburbs,1.32,Northern Territory,"Anula, Northern Territory, Australia",-12.390305,130.890512
701021012,Berrimah,Darwin Suburbs,30.26,Northern Territory,"Berrimah, Northern Territory, Australia",-12.430315,130.935981
701021013,Brinkin - Nakara,Darwin Suburbs,2.69,Northern Territory,"Brinkin - Nakara, Northern Territory, Australia",-12.370925,130.873042
701021014,Buffalo Creek,Darwin Suburbs,23.91,Northern Territory,"Buffalo Creek, Northern Territory, Australia",-12.37263,130.922477
701011004,Fannie Bay - The Gardens,Darwin City,3.92,Northern Territory,"Fannie Bay - The Gardens, Northern Territory, Australia",-12.436755,130.83593
701021015,Charles Darwin,Darwin Suburbs,17.49,Northern Territory,"Charles Darwin, Northern Territory, Australia",-12.44921,130.90399
701021016,Coconut Grove,Darwin Suburbs,1.42,Northern Territory,"Coconut Grove, Northern Territory, Australia",-12.39529,130.851905
701021017,East Arm,Darwin Suburbs,27.96,Northern Territory,"East Arm, Northern Territory, Australia",-12.477595,130.908894
701021018,Jingili,Darwin Suburbs,1.32,Northern Territory,"Jingili, Northern Territory, Australia",-12.388975,130.872177
701011001,Darwin Airport,Darwin City,14.32,Northern Territory,"Darwin Airport, Northern Territory, Australia",-12.410885,130.882281
